Contient la carte de montage de toutes les lumieres de l'environnement "Bar"
4(1) = port 4 de la carte numéro 1
    Nom_projecteur  |   Type         |   addr relais |     Addresse triac    | Addresse Bluetooth  |   Derniere couleur(hex)
                    |           |               |                       |                     |
led_escalier_haut   |   led_2_branches|       4(1)    |                       |   be:ff:f0:00:eb:3f |     0x000000
led_escalier_bas    |   led(4)  |       4(1)    |                       |   be:ff:40:00:f0:60 |     0x000000
