Contient la carte de montage de toutes les lumieres de l'environnement "Bar"
4(1) = port 4 de la carte numéro 1
    Nom_projecteur  |   Type    |   addr relais |     Addresse triac    | Addresse Bluetooth  |   Derniere couleur(hex)
                    |           |               |                       |                     |
    led_fond_exte   |   led(4)  |       3(1)    |                       |   be:ff:80:01:2b:33 |     0x000000
    led_fond_inte   |   led(4)  |       3(1)    |                       |   be:ff:f0:00:ea:c2 |     0x000000
      poutre_table  |projo_poutres|     8(1)    |       3(2)            |
